license_type,dba_name,account_business_street,license_number,account_business_city,account_business_state_province,account_business_zip_postal_code,classification,full_address,lon,lat
Pharmacy,Price Chopper Pharmacy #416,2219 N Belt Hwy,2016032950,Saint Joseph,Missouri,64506,Class A (Community/Ambulatory); Class J (Shared Services),"2219 N Belt Hwy, Saint Joseph, Missouri, 64506",-94.8024355,39.7863799
Pharmacy,Hermann Family Drug Store,195 Hwy 100 W,2016028602,Hermann,Missouri,65041,Class A (Community/Ambulatory); Class C (Long-Term Care),"195 Hwy 100 W, Hermann, Missouri, 65041",-91.44950299999999,38.686851
Pharmacy,CVS Pharmacy #10334,10820 Manchester Rd,2016039480,Kirkwood,Missouri,63122,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"10820 Manchester Rd, Kirkwood, Missouri, 63122",-90.406702,38.5996337
Pharmacy,Walmart Pharmacy 10-4590,3410 SW Market St,2017004719,Lees Summit,Missouri,64082,Class A (Community/Ambulatory); Class J (Shared Services),"3410 SW Market St, Lees Summit, Missouri, 64082",-94.3780992,38.857021
Pharmacy,Leighr Pharmacy,1170 Kansas Street,2017015705,Liberty,Missouri,64068,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding),"1170 Kansas Street, Liberty, Missouri, 64068",-94.44080029999999,39.2451952
Pharmacy,Walgreens #15820,605 N Main St,2017006066,Ironton,Missouri,63650,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"605 N Main St, Ironton, Missouri, 63650",-90.62796639999999,37.6067195
Pharmacy,"Ava Drug #15726, Powered by Walgreens",124 W Washington Ave PO Box 457,2017006067,Ava,Missouri,65608-6504,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"124 W Washington Ave PO Box 457, Ava, Missouri, 65608-6504",-92.6610457,36.9523597
Pharmacy,"Mansfield Drug #15731, Powered by Walgreens",101 N Business Hwy 60,2017006073,Mansfield,Missouri,65704,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"101 N Business Hwy 60, Mansfield, Missouri, 65704",-92.58146194706497,37.1078953500947
Pharmacy,"Seymour Pharmacy #15732, Powered by Walgreens",214 S Main St,2017006072,Seymour,Missouri,65746,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"214 S Main St, Seymour, Missouri, 65746",-92.76796999999999,37.14662879999999
Pharmacy,Walgreens #15800,904 W Business Hwy 60,2017006071,Dexter,Missouri,63841,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"904 W Business Hwy 60, Dexter, Missouri, 63841",-89.9821934,36.8063208
Pharmacy,Walgreens #15821,903 Benham,2017006076,Bonne Terre,Missouri,63628,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"903 Benham, Bonne Terre, Missouri, 63628",-90.5413841,37.922147
Pharmacy,Walgreens #15730,3222 S Main St,2017006070,Joplin,Missouri,64804,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"3222 S Main St, Joplin, Missouri, 64804",-94.5157105,37.0540042
Pharmacy,Walgreens Specialty Pharmacy #16552,"628 N. New Ballas Rd., Ste A",2017010271,Creve Coeur,Missouri,63141,Class A (Community/Ambulatory); Class C (Long-Term Care); Class D (Non-Sterile Compounding); Class J (Shared Services),"628 N. New Ballas Rd., Ste A, Creve Coeur, Missouri, 63141",-90.4430486,38.6673054
Pharmacy,Costco Pharmacy #1268,1600 NW 88th St.,2017012863,Kansas City,Missouri,64155,Class A (Community/Ambulatory); Class J (Shared Services),"1600 NW 88th St., Kansas City, Missouri, 64155",-94.5992065,39.254045
Pharmacy,"Advocates for a Healthy Community, Inc.",860 Lynn St.,2017013552,Lebanon,Missouri,65536,Class A (Community/Ambulatory); Class C (Long-Term Care); Class J (Shared Services),"860 Lynn St., Lebanon, Missouri, 65536",-92.66693,37.6957852
